ID,URL,Name,Price,Category,Sizes,Colors,Availability,Description,Images,Features,Sense of Fitting Rating,,Material Quality Rating,Comfort Rating,Average Rating,Review Count
JX8980,https://shop.adidas.jp/products/JX8980,襟付きゴーリートップ,7370 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Black,ブルー,ピンク,ホワイト,ブラック,ホワイト",In Stock,この襟付きTシャツは、80年代のゴールキーパージャージーからインスピレーションを得てデザインされたもの。肌触りの良い滑らかな生地で仕立てたこのシャツは、一日中快適な着心地が続くカジュアルな一着。総柄のストライプの生地で、袖にスリーストライプスを配し、胸にアディダスのブランディングをあしらいクラシックな雰囲気に仕上げている。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/902c296583fa484eb2686e719c51ddba_9366/JX8980_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/09592e1580cf4aaab51005c77a491838_9366/JX8980_23_hover_model.jpg","半袖,オーバーサイズ,その他,ルーズフィット,リブ仕上げの襟の間に三角形のリブガセット,ポリエステル100%",N/A,N/A,N/A,N/A,N/A,N/A
JP3851,https://shop.adidas.jp/products/JP3851,Adi365 ランニング クライマクール+ 半袖Tシャツ,7700 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Mint Ton / Preloved Teal,ブラック",In Stock,"少々の暑さでは足を止めない。adidas Runningの半袖Tシャツは、長距離のランニングや、スピードトレーニング、うだるような暑さを感じる日陰のない道でも、涼しさを保つ。清涼感のある着心地が特徴のクライマクール+を採用。ベンチレーションのおかげで肌に風が通り、暗い場所ではリフレクターディテールが視認性を高める。

汗をすばやく逃がしてムレやベタつきを抑えるクライマクール+テクノロジーを採用。速乾性に優れた繊維が、肌をさらっと快適に保つ。ボディマッピング技術を駆使し、汗をかきやすい場所にピンポイントで汗対策機能を持たせている。革新的な技術と先進素材を組み合わせたウェア。涼しく爽やかな感触で、パフォーマンスをあげることだけに集中させてくれる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/08cb95a4c24649098f89827991628632_9366/Adi365_T_JP3851_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/9de768d8df9340b48f3f4311545f2d6f_9366/Adi365_T_JP3851_23_hover_model.jpg","半袖,レギュラーフィット,その他,リサイクルポリエステル100%,クライマクール+",N/A,N/A,N/A,N/A,N/A,N/A
JM1162,https://shop.adidas.jp/products/JM1162,テニス プロ クライマクール+ フリーリフト 半袖Tシャツ,11550 JPY,ウェア・服,"J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","Aurora Ivy,ホワイト,パープル",In Stock,"自分らしいスタイルでテニスコートに立とう。世界最高峰の芝コート大会をイメージしてデザインされたこのTシャツは、adidasのヘリテージ感とモダンなパフォーマンス性能を兼ね備えている。清涼感のある着心地が特徴のクライマクール+を採用。スリムフィットがすばやい動きをサポートし、フリーリフトデザインがオーバーヘッドショットの可動域を確保する。

クライマクール+が汗をすばやく吸収・発散し、汗をコントロール。速乾性に優れた繊維が、肌をさらっと快適に保つ。身体の動きに合わせたスウェットマネジメントで、効率的にクールダウンをサポート。優れた設計と先進素材が、ドライで快適なコンディションを保ち、パフォーマンスを発揮することだけに集中させてくれる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/c9592e89629e4c3d8aff90b25f7ea151_9366/T_JM1162_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/0789e38099d24af5a31fd15f02c99f2a_9366/T_JM1162_23_hover_model.jpg","半袖,スリムフィット,その他,クルーネック,ポリエステル100%,クライマクール+,フリーリフトデザイン",N/A,N/A,N/A,N/A,N/A,N/A
JM0513,https://shop.adidas.jp/products/JM0513,ウィンター シュータートップ,11000 JPY,ウェア・服,"XL/XXL,J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","Ivory / Bronze Strata / Black,ベージュ",In Stock,"このバスケットボール トップ姿で、コートの上でも外でも磨き上げたスキルを見せつけよう。ウーブンファブリックを使用し、動きやすいルーズフィットに仕立てたウェア。スリーストライプスと大胆なグラフィックが、スポーティーな印象を与える。 

様々なサイズ、ジェンダー、体型を考慮して、すべての人に合うように構築したシステム、UNITEFITを採用してデザインされている。","https://assets.adidas.com/images/w_600,f_auto,q_auto/095cdbb430614735ab8e94a01a9a1070_9366/JM0513_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/9202610178a64b86bd190557035e7b92_9366/JM0513_23_hover_model.jpg","ルーズフィット,その他,ポリエステル93% / ポリウレタン7%",N/A,N/A,N/A,N/A,N/A,N/A
JF3473,https://shop.adidas.jp/products/JF3473,アディゼロ ランニング半袖Tシャツ,8250 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Black,レッド,ブルー",In Stock,"無駄を省き、必要な機能だけ取り入れたこのランニングTシャツは、空気抵抗を考慮した柔軟性に富むスリムなシルエット。パンチング加工を施した軽やかな生地が、限界に挑んでヒートアップするトレーニング中も爽やかな空気を肌に届け、集中力を支えてくれる。

この製品には、リサイクル素材を70%以上使用。これまで作られてきた製品の素材をリユースすることで、ゴミの量、限りある資源への依存、そしてアディダス製品のフットプリントを減らすことにつながる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/a8baa578384443c7985418e9b4f03556_9366/T_JF3473_HM1.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/5a9a6f9f1695423ea04171d7011eec95_9366/T_JF3473_HM3_hover.jpg","半袖,スリムフィット,その他,クルーネック,ポリエステル86%  / ポリウレタン14%,パーフォレーションを施した軽やかな生地,リフレクター仕様のロゴ",N/A,N/A,N/A,N/A,N/A,N/A
JZ0717,https://shop.adidas.jp/products/JZ0717,Y-3 Graphic Short Sleeve Tee,26400 JPY,ウェア・服,"2XS,XS,S,M,L,XL,2XL","Granite,ブラック,ホワイト",In Stock,スポーツとスタイルを融合させた一枚。Y-3の大胆な姿勢を体現する、縦に配置されたロゴのグラフィックが映える。肌触りのよいコットンシングルジャージー生地を使用。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/40b66d922b5540159172ec2a53d74faa_9366/Y-3_Graphic_Short_Sleeve_Tee_JZ0717_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/f5f170cbed8b4bfe8c54a03987472887_9366/Y-3_Graphic_Short_Sleeve_Tee_JZ0717_23_hover_model.jpg","半袖,ルーズフィット,コットン,レギュラーフィット,リブ仕上げのクルーネック,綿100%,スタックド ロゴグラフィック",N/A,N/A,N/A,N/A,N/A,N/A
JX5470,https://shop.adidas.jp/products/JX5470,タイショーン 半袖Tシャツ,6600 JPY,ウェア・服,"J/3XS,J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL",Dark Blue / White,In Stock,"考え抜かれたディテールと、チームライダーのタイショーン・ジョーンズが厳選したカラーを採用したこのTシャツは、アディダスのアーカイブスタイルでタイショーンのレガシーを讃えている。コットン素材をルーズフィットに仕立て、大胆なストライプをあしらった、キング・オブ・ニューヨークにふさわしいクリーンなルックスが特徴。

このTシャツは、さまざまな体型や性別にフィットする、ユニセックス対応のUNITEFITシステムを採用してデザインされている。","https://assets.adidas.com/images/w_600,f_auto,q_auto/eb14be4dcd684c1b9d9fcbb58bb858ba_9366/T_JX5470_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/138d596a313b4ec9a3408d8c570bd9ba_9366/T_JX5470_23_hover_model.jpg","半袖,ルーズフィット,コットン,クルーネック,綿100%",N/A,N/A,N/A,N/A,N/A,N/A
JX5640,https://shop.adidas.jp/products/JX5640,スタジアム半袖Tシャツ,4950 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Off White / Black,ブラック",In Stock,このadidasのTシャツで観衆のエネルギーを感じよう。ソフトな綿素材を採用。チームを応援するときも友達と出かけるときも、いつでも快適に過ごせる。サテンのパイピングと3バーロゴがスポーティーなディテールをプラス。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/3f22456657a2420cac84802efd5d7447_9366/T_JX5640_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/989d9b9082934b43b349cba52622b69e_9366/T_JX5640_23_hover_model.jpg","半袖,レギュラーフィット,コットン,クルーネック,綿100%",N/A,N/A,N/A,N/A,N/A,N/A
JW6643,https://shop.adidas.jp/products/JW6643,アディダス スポーツデザイン GFX半袖Tシャツ,5170 JPY,ウェア・服,"XL/XXL,J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","Ivory,ブラック",In Stock,"大胆に個性を主張できる、ゆったりしたオーバーサイズのグラフィックTシャツ。創造性とイマジネーションをカタチにする、adidas Sport Design Studioのシンプルなグラフィックを前と後ろに配している。コーディネートを選ばないニュートラルカラーだから、どんな着こなしにも合う。

様々なサイズ、ジェンダー、体型を考慮して、すべてのジェンダーに合うように構築したシステム、UNITEFITを採用。","https://assets.adidas.com/images/w_600,f_auto,q_auto/0df22c7bf6fb43ef812049e38b27259b_9366/GFXT_JW6643_23_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/b1e6008bde8c43fa97aa8babf62e5da7_9366/GFXT_JW6643_000_plp_model_hover.jpg","半袖,ルーズフィット,コットン,綿70% / ポリエステル30%",N/A,N/A,N/A,N/A,N/A,N/A
JN1715,https://shop.adidas.jp/products/JN1715,オウン ザ ラン 半袖Tシャツ,4070 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Grey Six / White Melange,ホワイト,ブラック,ブルー,ブルー",In Stock,"このTシャツを着て、自分らしい走りをしよう。長距離ランに挑んでいる間、AEROREADYテクノロジーが汗を逃がし、汗を気にすることなく自分の目標だけに集中できる。また、暗くなっても走れる、視認性を発揮するリフレクターが付き。リサイクル素材を一部使用した、持続可能性を考慮した作りだから、ランナーとして地球への影響を意識でき、気持ちよく走ることができる。 

この製品は、リサイクル素材を70%以上使用。製造された製品の素材をリユースすることで、ゴミの量、限りある資源への依存、そしてアディダス製品のフットプリントを減らすことにつながる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/d75ade3e57f24a1d977ac3c3ac00c896_9366/T_JN1715_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/3fef8935f8754a53a9707c149f2e24b2_9366/T_JN1715_23_hover_model.jpg","半袖,レギュラーフィット,その他,リブ仕上げのクルーネック,ポリエステル86% / ポリウレタン14%（メッシュ）,AEROREADY,滑らかな肌触りのバックネックテープ,リフレクター付き",N/A,N/A,N/A,N/A,N/A,N/A
